Program Name,Program Arthur,Program Description,Program Length,Program Level,Program Equipment,Days Per Week,Mesocycle Name,Mesocycle Description,Mesocycle Order,Microcycle Name,Microcycle Description,Microcycle Order,Workout Name,Workout Day,Workout Notes,Superset,Exercise Name,Exercise Notes,Sets,Set Type,Target Repetitions,Target Min Repetitions,Target Max Repetitions,Target Weight (lbs),Target Weight (kg),Weight Increment (lbs),Weight Increment (kg),Target RPE,Target RIR,Percentage of 1RM,Progression Scheme ID
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Thursday - Legs,Thursday,,,Goblet Squats,"Train the pumped muscle through a full range of motion, Simple sets.",3,,15,,,,,,,8,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Thursday - Shoulders,Thursday,,,Banded face pulls,"Supramax pump, Use the long orange micro mini band.",3,,30,,,,,,,8,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Thursday - Shoulders,Thursday,,,Dumbbell side laterals,"Supramax pump, Leave reps in the tank.",3,,8,,,,,,,8,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Thursday - Shoulders,Thursday,,,Barbell front raises,"Supramax pump, Nothing to failure.",4,,8,,,,,,,8,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Thursday - Calves,Thursday,,,Seated calf raises,"Stretch and pump, 1 set of 100 reps, stop as needed, but no more than 10s rest.",1,,100,,,,,,,12,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Thursday - Abs,Thursday,,,Hanging leg leg raise,Activation and pump.,3,,to failure,,,,,,,9,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Friday - Chest,Friday,,,Incline dumbbell press,"Activation and start pump, Slow eccentric, drop set on last set with 2 drops.",4,,"8 reps, then drop set",,,,,,,8-11,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Friday - Chest,Friday,,,Incline bench press,"Train explosively, 5 sets of 4 reps.",5,,4,,,,,,,9,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Friday - Chest,Friday,,,Dumbbell twist press,"Activation and start pump, Simple sets.",4,,10,,,,,,,8,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Friday - Chest,Friday,,,Machine flyes,"Train muscle with stretch emphasis, Finish with 8 partials from the stretch position.",4,,15,,,,,,,9-11,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Friday - Chest,Friday,,,Smith flat bench,"Supramax pump, Lower slow, drive up 3/4 of the way.",3,,15,,,,,,,9-10,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Friday - Abs,Friday,,Superset,Ab combination #4,"A leg raise, rope crunch, and incline sit-up combo. 3 rounds.",9,,N/A,,,,,,,10,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Saturday - Legs,Saturday,,,Cable Belt Squat March,"Activation and start pump, Stick to the same weight as last week.",3,,2.5 minutes,,,,,,,8,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Saturday - Legs,Saturday,,,Hip Thrust,"Supramax pump, Use the same 10-rep weight from last week, rest pause each set.",3,,20,,,,,,,8,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Saturday - Legs,Saturday,,,Band Good Mornings,"Supramax pump, Use a band, or light barbell. Do 3 sets to failure. Beat the reps from last week!, https://www.youtube.com/watch?v=5eh9EAfLPPI",3,,to failure,,,,,,,9,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Saturday - Shoulders,Saturday,,,Machine rear laterals,"Supramax pump, Hold the contracted position for 1 second.",3,,10,,,,,,,8,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Saturday - Shoulders,Saturday,,,Dumbbell side laterals,"Supramax pump, Do 10 over and backs with a rope/band in between sets here!",3,,8,,,,,,,8,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Saturday - Shoulders,Saturday,,,Dumbbell press,"Supramax pump, Nice and slow, full lockout and flexing.",3,,8,,,,,,,8,,,
Omega Sentinel Workout Program,John Meadows,An advanced 14-week bodybuilding and hypertrophy program.,14 Weeks,Advanced,"Barbell, Dumbbells, Machine, Cable, Band",6,Legs/glutes and Shoulders - High Frequency,,3,Week 14,Microcycle for Week 14,14,Saturday - Calves,Saturday,,,Calve program #1,"Supramax pump, https://www.youtube.com/watch?v=Qhdlw51Xjsc&index=68&list=PLD5A37C01FC6D4C0D",4,,"10 full, 10 lengthened partials, 10 sec stretch",,,,,,,10,,,
